ime planinske točke,pot,zahtevnost
Batognica,Dom v Lepeni - Batognica (čez Prag),lahka neoznačena steza
Batognica,Koča na planini Kuhinja - Batognica,delno zahtevna označena pot
Batognica,Koča pri Savici - Batognica (čez Prehodce),lahka označena pot
Batognica,Krn - Batognica (čez planino Sleme),lahka označena pot
Batognica,Planina Kuhinja - Batognica,delno zahtevna označena pot
Batognica,Planina Kuhinja - Batognica (mimo jezera v Lužnici),lahka označena pot
Batognica,Planina Polog - Batognica (čez Prehodce),lahka označena pot
Batognica,Planina Polog - Batognica (čez planino Sleme),lahka označena pot
Bavški Grintavec,Flori-Zadnja Trenta - Bavški Grintavec (direktna pot),zelo zahtevna označena pot
Bavški Grintavec,Flori-Zadnja Trenta - Bavški Grintavec (čez Kanski preval),zelo zahtevna označena pot
Bavški Grintavec,Soča - Bavški Grintavec,zahtevna označena pot
Bazilika Marije Pomagaj na Brezjah,Brezje - Bazilika Marije Pomagaj na Brezjah (Brezjanska pot miru),lahka označena pot
Bazilika Marije Pomagaj na Brezjah,Brezje - Bazilika Marije Pomagaj na Brezjah (Rožnovenska pot),lahka označena pot
Bašeljski vrh,Babni Vrt - Bašeljski vrh (mimo sv. Lovrenca),lahka neoznačena steza
Bašeljski vrh,Bašelj - Bašeljski vrh,lahka označena pot
Bašeljski vrh,Bašelj - Bašeljski vrh (mimo bolnice Košuta),lahka označena pot
Bašeljski vrh,Bašelj - Bašeljski vrh (mimo sv. Lovrenca),delno zahtevna označena pot
Bašeljski vrh,Jekarica - Bašeljski vrh,lahka označena pot
Bašeljski vrh,Laško - Bašeljski vrh,lahka označena pot
Bašeljski vrh,Laško - Bašeljski vrh (mimo sv. Lovrenca),delno zahtevna označena pot
Bašeljski vrh,MHE Zabukovec - Bašeljski vrh,lahka označena pot
Bašeljski vrh,Mače - Bašeljski vrh,lahka označena pot
Bašeljski vrh,Mače - Bašeljski vrh (po dolini Suhe in čez Kališče),lahka neoznačena steza
Bašeljski vrh,Mače - Bašeljski vrh (po dolini Suhe),lahko brezpotje
Bašeljski vrh,Mače - Bašeljski vrh (čez Kozjek),lahka označena pot
Bašeljski vrh,Povlje - Bašeljski vrh,delno zahtevna označena pot
Bašeljski vrh,Spodnja Kokra - Bašeljski vrh,lahka označena pot
Bašeljski vrh,Spodnja Kokra - Bašeljski vrh (čez Babo),lahka neoznačena steza
Bedančev dom,Kranjska Gora - Bedančev dom,lahka označena pot
Begunjska Vrtača,Dom v Dragi - Begunjska Vrtača,delno zahtevna označena pot
Begunjska Vrtača,Ljubelj - Begunjska Vrtača (Lenuhova grapa),alpinistični vzpon
Begunjska Vrtača,Ljubelj - Begunjska Vrtača (čez Preval-o),lahko brezpotje
Begunjska Vrtača,Podljubelj (Lajb) - Begunjska Vrtača,lahko brezpotje
Begunjski vrh,Aljažev dom v Vratih - Begunjski vrh (Tominškova pot),zelo zahtevna označena pot
Begunjski vrh,Aljažev dom v Vratih - Begunjski vrh (čez Prag),zahtevna označena pot
Begunjski vrh,Dolina Kot - Begunjski vrh,delno zahtevna označena pot
Begunjski vrh,Dolina Krma - Begunjski vrh,lahka označena pot
Begunjski vrh,Konec ceste na Pokljuki - Begunjski vrh,zahtevna označena pot
Begunjski vrh,Turkov rovt (Vrata) - Begunjski vrh (snežni pristop),lahko brezpotje
Begunjščica,Dom v Dragi - Begunjščica (mimo Roblekovega doma),lahka označena pot
Begunjščica,Dom v Dragi - Begunjščica (čez Preval-o),delno zahtevna označena pot
Begunjščica,Ljubelj - Begunjščica (Zeleniška smer),alpinistični vzpon
Begunjščica,Ljubelj - Begunjščica (skozi Frelihov žleb),alpinistični vzpon
Begunjščica,"Ljubelj - Begunjščica (skozi Osrednjo grapo, snežni pristop)",zelo zahtevno brezpotje
Begunjščica,"Ljubelj - Begunjščica (skozi Y, snežni pristop)",zelo zahtevno brezpotje
Begunjščica,Ljubelj - Begunjščica (čez Preval-o),delno zahtevna neoznačena pot
Begunjščica,Ljubelj - Begunjščica (čez Zelenico),delno zahtevna označena pot
Begunjščica,"Ljubelj - Begunjščica (čez Šentanski plaz, snežni pristop)",zahtevno brezpotje
Begunjščica,Na jezercih - Begunjščica,lahka neoznačena steza
Begunjščica,Podljubelj (Lajb) - Begunjščica,delno zahtevna označena pot
Begunjščica,Tinčkova koča - Begunjščica,delno zahtevna označena pot
Begunjščica,Tinčkova koča - Begunjščica (čez Poljško planina),delno zahtevna označena pot
Begunjščica,Tomčeva koča na Poljški planini - Begunjščica,lahka označena pot
Bela glava,Planina Blato - Bela glava,lahko brezpotje
Bela peč,Dom pod Storžičem - Bela peč,lahka označena pot
Bela peč,Dom pod Storžičem - Bela peč (čez Javorniški preval),lahka označena pot
Bela peč,Grahovše - Bela peč (lažja pot),lahka označena pot
Bela peč,Grahovše - Bela peč (mimo Tiča),lahka označena pot
Bela peč,Grahovše - Bela peč (pod steno),delno zahtevna neoznačena pot
Bela peč,Grahovše - Bela peč (čez Boršt),lahka označena pot
Bela peč,Planina Vetrh - Bela peč (mimo koče pr Zdravc),lahka neoznačena steza
Bela peč / Weiße Wand,Pamž / Pamschbauer - Bela peč / Weiße Wand (čez Sveto peč),lahko brezpotje
Bela peč/Monte Bila pec,Nevejski preval - Bela peč/Monte Bila pec,zahtevna označena pot
Bele peči (Lepi vrh),Srednji Vrh - Bele peči (Lepi vrh) (po dolini potoka Žlebnica),lahka neoznačena steza
Bele peči (Lepi vrh),Srednji Vrh - Bele peči (Lepi vrh) (čez Železnico),lahka neoznačena steza
Belopotoški slap,Zadnjica - Belopotoški slap,lahka neoznačena steza
Belska planina,Konjska raven (Pokljuka) - Belska planina,lahka označena pot
Belska planina,Planina Smrečica (Poglajnov rovt) - Belska planina,lahka neoznačena steza
Belska planina,Zatrnik - Belska planina,lahka neoznačena steza
Belska planina (Svečica),Dom Pristava v Javorniškem Rovtu - Belska planina (Svečica) (pešpot),lahka označena pot
Belska planina (Svečica),Dom Pristava v Javorniškem Rovtu - Belska planina (Svečica) (po cesti),lahka neoznačena steza
Belska planina (Svečica),Križovec - Belska planina (Svečica) (peš pot),lahka označena pot
Belska planina (Svečica),Križovec - Belska planina (Svečica) (po cesti),lahka neoznačena steza
Belska planina (Svečica),Planina pod Golico - Belska planina (Svečica),lahka neoznačena steza
Bezovec,Ljubenske Rastke - Bezovec,lahka označena pot
Bezovec (Dobrovlje),Braslovško jezero - Bezovec (Dobrovlje) (mimo Covnikovega križa),lahka označena pot
Bezovec (Dobrovlje),Braslovško jezero - Bezovec (Dobrovlje) (mimo lovske koče),lahka označena pot
Bezovec (Dobrovlje),Letuš - Bezovec (Dobrovlje) (mimo Covnikovega križa),lahka označena pot
Bezovec (Dobrovlje),Letuš - Bezovec (Dobrovlje) (mimo lovske koče),lahka označena pot
Bistriška planina,Bistrica pri Tržiču - Bistriška planina,lahka označena pot
Bistriška planina,Brezje pri Tržiču - Bistriška planina (po cesti),lahka označena pot
Bistriška planina,Tržič - Bistriška planina,lahka označena pot
Bistriška planina,Vodohran Žegnani studenec - Bistriška planina,lahka neoznačena steza
Bistriška špica/Feistritzer Spitze,Alpengasthof Siebenhütten - Bistriška špica/Feistritzer Spitze,lahka označena pot
Bistriška špica/Feistritzer Spitze,Globasnica / Globasnitz - Bistriška špica/Feistritzer Spitze,lahka označena pot
Bistriška špica/Feistritzer Spitze,Jakobe - Bistriška špica/Feistritzer Spitze (lahka pot),lahka označena pot
Bistriška špica/Feistritzer Spitze,Jakobe - Bistriška špica/Feistritzer Spitze (plezalna pot),zelo zahtevna označena pot
Bistriška špica/Feistritzer Spitze,Koprivna (Kumer) - Bistriška špica/Feistritzer Spitze (avstrijska pot),lahka označena pot
Bistriška špica/Feistritzer Spitze,Koprivna (Kumer) - Bistriška špica/Feistritzer Spitze (slovenska pot),lahka označena pot
Bistriška špica/Feistritzer Spitze,Najberž - Bistriška špica/Feistritzer Spitze,lahka označena pot
Bistriška špica/Feistritzer Spitze,Pod Peco/Koprein-Petzen - Bistriška špica/Feistritzer Spitze,lahka označena pot
Bistriška špica/Feistritzer Spitze,Rudnik v Topli - Bistriška špica/Feistritzer Spitze,lahka neoznačena steza
Bivak Bernardinis,Planina Zajzera - Bivak Bernardinis (po poti 648),delno zahtevna označena pot
Bivak Gorizia,Bele vode - Bivak Gorizia,lahka označena pot
Bivak Hlek,Kobarid - Bivak Hlek,lahka označena pot
Bivak Hlek,Potoki - Bivak Hlek,lahka označena pot
Bivak Marrusich,Reklanska dolina - Bivak Marrusich,zahtevna označena pot
Bivak Marrusich,Rifugio Gilberti - Bivak Marrusich,lahka označena pot
Bivak Nogara,Belopeška jezera - Bivak Nogara,zahtevna označena pot
Bivak Stuparich,Planina Zajzera - Bivak Stuparich,lahka označena pot
Bivak Suringar,Pecol - Bivak Suringar,zelo zahtevna označena pot
Bivak Suringar,Planina Zajzera - Bivak Suringar (Via Amalia),zelo zahtevna označena pot
Bivak Suška bajta,Leše - Bivak Suška bajta (mimo Leških cerkva),lahka označena pot
Bivak Suška bajta,Leše - Bivak Suška bajta (skozi Kot pri Prevaljah),lahka neoznačena steza
Bivak Suška bajta,Mežica - Bivak Suška bajta,lahka označena pot
Bivak Za Akom,Gozd Martuljek - Bivak Za Akom,zahtevna označena pot
Bivak brez meja / Bivacco Senza Confini,Pri Jalnu / Fusine Laghi - Bivak brez meja / Bivacco Senza Confini,lahka označena pot
Bivak brez meja / Bivacco Senza Confini,Rateče - Bivak brez meja / Bivacco Senza Confini (vzhodna pot),lahka označena pot
Bivak brez meja / Bivacco Senza Confini,Rateče - Bivak brez meja / Bivacco Senza Confini (zahodna pot),lahka neoznačena steza
Bivak na Belščici,Olipova planina - Bivak na Belščici (čez Hrašensko planino),lahka neoznačena steza
Bivak na Belščici,Urbas - Bivak na Belščici,lahka neoznačena steza
Bivak na Jezerih,Poldov rovt (Vrata) - Bivak na Jezerih,zahtevna neoznačena steza
Bivak na Kalu,Gornji Grad - Bivak na Kalu,lahka označena pot
Bivak na Kalu,Konec ceste - Bivak na Kalu,lahka označena pot
Bivak na Kalu,Podvolovljek (Petkov graben) - Bivak na Kalu,lahka neoznačena steza
Bivak na Kalu,Podvolovljek (Petkov graben) - Bivak na Kalu (čez Lepenatko),lahka neoznačena steza
Bivak na Kalu,Volovljek - Bivak na Kalu,lahka neoznačena steza
Bivak na Kalu,Volovljek - Bivak na Kalu (čez Lepenatko),lahka neoznačena steza
Bivak na Kalu,Črnivec - Bivak na Kalu,lahka označena pot
Bivak na Rušju,Aljažev dom v Vratih - Bivak na Rušju,lahka označena pot
Bivak na Črniku,Drežnica - Bivak na Črniku,lahka označena pot
Bivak pod Grintovcem,Suhadolnik - Bivak pod Grintovcem,zahtevna označena pot
Bivak pod Grintovcem,V  Koncu - Bivak pod Grintovcem (čez Gamsov skret),zelo zahtevna neoznačena steza
Bivak pod Grintovcem,V Koncu - Bivak pod Grintovcem (čez Kokrsko sedlo),zahtevna označena pot
Bivak pod Kotovim sedlom,Dom v Tamarju - Bivak pod Kotovim sedlom,zahtevna označena pot
Bivak pod Kotovim sedlom,Dom v Tamarju - Bivak pod Kotovim sedlom (po melišču),lahka označena pot
Bivak pod Luknjo,Aljažev dom v Vratih - Bivak pod Luknjo,lahka označena pot
Bivak pod Mrzlim vrhom,Koča pod slapom Rinka - Bivak pod Mrzlim vrhom,delno zahtevna označena pot
Bivak pod Mrzlim vrhom,Ravenska Kočna - Bivak pod Mrzlim vrhom (Slovenska pot),zahtevna označena pot
Bivak pod Mrzlim vrhom,Ravenska Kočna - Bivak pod Mrzlim vrhom (lovska pot),delno zahtevna označena pot
Bivak pod Mrzlim vrhom,Ravenska Kočna - Bivak pod Mrzlim vrhom (skozi Žrelo),zelo zahtevna označena pot
Bivak pod Muzcem,Breginj - Bivak pod Muzcem,delno zahtevna označena pot
Bivak pod Skuto,V Koncu - Bivak pod Skuto (čez Žmavčarje),zahtevna neoznačena steza
Bivak pod Špikom,Gozd Martuljek - Bivak pod Špikom (direktna pot),lahka označena pot
Bivak pod Špikom,Gozd Martuljek - Bivak pod Špikom (ob reki),lahka označena pot
Bivak v Kočni,Suhadolnik - Bivak v Kočni (čez Grdi graben),zelo zahtevna označena pot
Blejska koča na Lipanci,Medvedova konta - Blejska koča na Lipanci,lahka označena pot
Blejska koča na Lipanci,Planina Zajavornik - Blejska koča na Lipanci,lahka označena pot
Blejska koča na Lipanci,Pri Rupah - Blejska koča na Lipanci,lahka označena pot
Blejska koča na Lipanci,Rudno polje - Blejska koča na Lipanci,lahka označena pot
Blejska koča na Lipanci,Šport hotel - Blejska koča na Lipanci,lahka označena pot
Blejski grad,Rečica pri Bledu - Blejski grad (čez Višce),lahka neoznačena steza
Blekova planina,Grpiče / Korpitch - Blekova planina,lahka označena pot
Blekova planina,Srednji Vrh - Blekova planina,lahka neoznačena steza
Blekova planina,Žužalče / Susalitch - Blekova planina,lahka označena pot
Bogatin,Dom v Lepeni - Bogatin (čez Bogatinsko sedlo),delno zahtevna označena pot
Bogatin,Koča pri Savici - Bogatin (čez Bogatinsko sedlo),delno zahtevna označena pot
Bogatin,Koča pri Savici - Bogatin (čez planino Govnjač),delno zahtevna označena pot
Bogatin,Planina Polog - Bogatin (čez Prehodce),delno zahtevna označena pot
Borovje,Brinje - Borovje (grebenska pot),delno zahtevna neoznačena pot
Borovje,Brinje - Borovje (čez rovt Vrse in sedlo),delno zahtevna neoznačena pot
Borovje,Dovje - Borovje (mimo Sedučnika in čez sedlo),delno zahtevna neoznačena pot
Borovski vrh (Žehtar) / Sechter,Bajdiše / Waidisch - Borovski vrh (Žehtar) / Sechter,delno zahtevna označena pot
Borovski vrh (Žehtar) / Sechter,Borovlje / Ferlach - Borovski vrh (Žehtar) / Sechter (Raketensteig),delno zahtevna označena pot
Boršt,Kočna - Boršt (čez Vrše),lahka neoznačena steza
Boršt,Poljane (Spodnje Gorje) - Boršt (po cesti),lahka neoznačena steza
Boršt,Trate (Blejska Dobrava) - Boršt,lahka neoznačena steza
Boskovec,Planinska Ravna - Boskovec (Severjeva pot),lahka označena pot
Boskovec,Planinska Ravna - Boskovec (čez Hleviško planino),lahka označena pot
Boskovec,Žekovec  - Boskovec (preko Verbučeve planine),lahka označena pot
Boskovec,Žekovec - Boskovec (mimo Kebra in Mozirske koče),lahka označena pot
Boskovec,Žekovec - Boskovec (mimo Kebra čez Požganijo),delno zahtevna označena pot
Bovški Gamsovec,Aljažev dom v Vratih - Bovški Gamsovec (čez Luknjo),zahtevna označena pot
Bovški Gamsovec,Aljažev dom v Vratih - Bovški Gamsovec (čez Sovatno),zahtevna označena pot
Bovški Gamsovec,Zadnjica - Bovški Gamsovec (čez Luknjo),zahtevna označena pot
Boč,Studenice - Boč (po cesti),lahka označena pot
Boč,Zgornja Kostrivnica - Boč,lahka označena pot
Boč,Zgornja Kostrivnica - Boč (mimo Koče Velikonočnice),lahka označena pot
Boč,Zgornje Poljčane - Boč (mimo Doma na Boču in po plezalni poti),zelo zahtevna označena pot
Boč,Zgornje Poljčane - Boč (po cesti in Senčni poti),lahka označena pot
Boč,Zgornje Poljčane - Boč (po cesti),lahka označena pot
Boč,Zgornje Poljčane - Boč (čez Babo),lahka označena pot
Boč,Zgornje Poljčane - Boč (čez Balunjačo),lahka označena pot
Boč,Zgornji Gabernik - Boč (čez Galke in Balunjačo - krožna pot),lahka označena pot
Božičev vrh / Boschitzberg,Železna Kapla / Bad Eisenkappel - Božičev vrh / Boschitzberg (Türkenkopf Klettersteig),izjemno zahtevna označena pot
Brana,Dom v Kamniški Bistrici - Brana,zahtevna označena pot
Brana,Jermanca - Brana (čez Kamniško sedlo),zahtevna označena pot
Brana,Koča pod slapom Rinka  - Brana,zahtevna označena pot
Brana,V Koncu - Brana (čez Tursko goro),zelo zahtevna označena pot
Brda,Dolina Krma - Brda,zahtevna označena pot
Brda,Medvedova konta - Brda (vzhodna pot),lahka označena pot
Brda,Medvedova konta - Brda (zahodna pot),lahka označena pot
Brda,Planina Zajavornik - Brda (vzhodna pot),lahka označena pot
Brda,Pri Rupah - Brda (vzhodna pot),lahka označena pot
Brda,Pri Rupah - Brda (zahodna pot),lahka označena pot
Brda,Rudno polje - Brda (vzhodna pot),lahka označena pot
Brda,Rudno polje - Brda (zahodna pot),lahka označena pot
Brda,Šport hotel - Brda (vzhodna pot),lahka označena pot
Brdo (Plezališče pod Golico),Planina pod Golico - Brdo (Plezališče pod Golico) (mimo Fenca),lahka označena pot
Brezje / Montemaggiore,Breginj - Brezje / Montemaggiore (preko Plazov),lahka označena pot
Brezovec,Dobrič (Vedet) - Brezovec,lahka označena pot
Breška planina,Bistrica pri Tržiču - Breška planina,lahka označena pot
Breška planina,Brezje pri Tržiču - Breška planina (po cesti),lahka označena pot
Breška planina,Tržič - Breška planina,lahka označena pot
Breški Jalovec / Punta di Montemaggiore,Breginj - Breški Jalovec / Punta di Montemaggiore,delno zahtevna označena pot
Breški Jalovec / Punta di Montemaggiore,Brezje / Montemaggiore - Breški Jalovec / Punta di Montemaggiore,lahka označena pot
Briceljk,Bavšica - Briceljk,zahtevna neoznačena steza
Bukovec,Dol - Bukovec,lahka neoznačena steza
Celovška koča / Klagenfurter Hutte,Ljubelj - Celovška koča / Klagenfurter Hutte (mimo Vatelce oz. Sklede),delno zahtevna označena pot
Celovška koča / Klagenfurter Hutte,Podnar / Bodenbauer - Celovška koča / Klagenfurter Hutte,zahtevna označena pot
Celovška koča / Klagenfurter Hutte,Podnar / Bodenbauer - Celovška koča / Klagenfurter Hutte (čez Karweg),lahka neoznačena steza
Celovška koča / Klagenfurter Hutte,Trate /  Johannsenruhe - Celovška koča / Klagenfurter Hutte,lahka označena pot
Celovška koča / Klagenfurter Hutte,Vgriz / Ogris - Celovška koča / Klagenfurter Hutte,zahtevna označena pot
Cesar,Rudno polje - Cesar,zahtevno brezpotje
Ciprnik,Dom Planica - Ciprnik (lovska pot),delno zahtevna neoznačena pot
Ciprnik,Jasna - Ciprnik (mimo Mojčinega doma),lahka označena pot
Ciprnik,Kranjska Gora - Ciprnik (mimo Bedančevega doma),lahka označena pot
Ciprnik,Zelenci - Ciprnik,lahko brezpotje
Cjajnik / Lärchenturm,Koča pod Košuto - Cjajnik / Lärchenturm,izjemno zahtevna označena pot
Cjajnik / Lärchenturm,Ridovc / Ridovcsäge - Cjajnik / Lärchenturm (ob Mrzlem potoku in čez Cjajnik),izjemno zahtevna označena pot
Cjajnik / Lärchenturm,Sele pri Cerkvi / Zell - Pfarre - Cjajnik / Lärchenturm,izjemno zahtevna označena pot
Cjanovca,Mače - Cjanovca (Mačenska pot in po JV grebenu),lahka označena pot
Cjanovca,Mače - Cjanovca (Mačenska pot in čez Dolgo njivo),lahka označena pot
Cjanovca,Mače - Cjanovca (čez Kozjek in Dolgo njivo),lahka označena pot
Cjanovca,Mače - Cjanovca (čez Kozjek in po JV grebenu),lahka označena pot
Cjanovca,"Potoče - Cjanovca (mimo sv. Jakoba, pod Potoško goro in čez Babo)",lahka neoznačena steza
Cjanovca,Spodnja Kokra - Cjanovca,lahka označena pot
Cjanovca,Spodnja Kokra - Cjanovca (čez Babo),lahka neoznačena steza
Cmir,Aljažev dom v Vratih - Cmir (Tominškova pot),zelo zahtevna označena pot
Cmir,Aljažev dom v Vratih - Cmir (čez Prag),zahtevna označena pot
Cmir,Dolina Kot - Cmir,zahtevna označena pot
Cmir,Dolina Krma - Cmir,zahtevna označena pot
Cojzova koča na Kokrskem sedlu,Suhadolnik - Cojzova koča na Kokrskem sedlu (stara pot ),delno zahtevna označena pot
Cojzova koča na Kokrskem sedlu,Suhadolnik - Cojzova koča na Kokrskem sedlu (čez Taško),zahtevna označena pot
Cojzova koča na Kokrskem sedlu,V Koncu - Cojzova koča na Kokrskem sedlu,lahka označena pot
Cojzova koča na Kokrskem sedlu,Žagana peč - Cojzova koča na Kokrskem sedlu (lovska pot),delno zahtevna neoznačena pot
Debela peč,Dolina Krma - Debela peč,zahtevna označena pot
Debela peč,Kovinarska koča v Krmi - Debela peč (lovska pot),zelo zahtevno brezpotje
Debela peč,Krnica - Debela peč,lahka označena pot
Debela peč,Medvedova konta - Debela peč,lahka označena pot
Debela peč,Medvedova konta - Debela peč (mimo Kotla in po stari poti),lahko brezpotje
Debela peč,Medvedova konta - Debela peč (mimo Kotla),lahko brezpotje
Debela peč,Planina Zajavornik - Debela peč,lahka označena pot
Debela peč,Pri Rupah - Debela peč,lahka označena pot
Debela peč,Rudno polje - Debela peč,lahka označena pot
Debela peč,Strmec - Debela peč,lahka označena pot
Debela peč,Strmec - Debela peč (mimo Spodnjih Brd),lahka označena pot
Debela peč,Strmec - Debela peč (stara pot),lahka označena pot
Debela peč,Šport hotel - Debela peč,lahka označena pot
Debeli vrh,Planina Blato - Debeli vrh (čez planino v Lazu),zahtevno brezpotje
Debeli vrh nad Lipanco,Medvedova konta - Debeli vrh nad Lipanco,lahka označena pot
Debeli vrh nad Lipanco,Planina Zajavornik - Debeli vrh nad Lipanco,lahka označena pot
Debeli vrh nad Lipanco,Rudno polje - Debeli vrh nad Lipanco (skozi Zgornji Razor),lahka neoznačena steza
Debeli vrh nad Lipanco,Rudno polje - Debeli vrh nad Lipanco (čez Kačji rob),lahka označena pot
Debeli vrh nad Lipanco,Šport hotel - Debeli vrh nad Lipanco,lahka označena pot
Deska (Veža),Lovska koča na Brežičih - Deska (Veža),lahka neoznačena steza
Deska (Veža),Planina Podvežak - Deska (Veža),lahka neoznačena steza
Deska (Veža),Planina Podvežak - Deska (Veža) (snežni pristop),lahka neoznačena steza
Deska (Veža),Za Loncem - Deska (Veža),lahka neoznačena steza
Dleskovec,Planina Ravne - Dleskovec (po južnih pobočjih),lahka neoznačena steza
Dobra gora,Na Jasi (Bled) - Dobra gora,lahka neoznačena steza
Dobrča,Begunje (Preska) - Dobrča,lahka označena pot
Dobrča,Bistrica pri Tržiču - Dobrča,lahka označena pot
Dobrča,Bistriška planina - Dobrča,lahka označena pot
Dobrča,Brezje pri Tržiču - Dobrča (mimo koče na Dobrči),lahka označena pot
Dobrča,Brezje pri Tržiču - Dobrča (po cesti),lahka označena pot
Dobrča,Brezje pri Tržiču - Dobrča (po robu in čez Lešansko planino),lahka označena pot
Dobrča,Brezje pri Tržiču - Dobrča (po robu),lahka označena pot
Dobrča,Draga - Dobrča (čez Ledeno trato),lahka neoznačena steza
Dobrča,Hibje - Dobrča (po cesti),lahka označena pot
Dobrča,Hudi Graben - Dobrča,lahka neoznačena steza
Dobrča,Hudi Graben - Dobrča (mimo Koče na Dobrči),lahka označena pot
Dobrča,Hudi Graben - Dobrča (čez Lešansko planino),lahka neoznačena steza
